kurtosis,[0.8734920024871826]
max_peek_dif,[0.016136884689331055]
mean,[0.04040169715881348]
median,[0.16141390800476074]
moment_3,[0.9095940589904785]
norme,[0.17090940475463867]
percentil,[0.25313663482666016]
skewness,[0.9361681938171387]
standardization,[0.24085569381713867]
std,[0.1579418182373047]
var,[0.16197586059570312]
